fid,datafangstdato,grensemerkenedsatti,grensepunktnummer,grensepunkttype,identifikasjon_lokalid,identifikasjon_navnerom,informasjon,kommnr,kvalitet_malemetode,kvalitet_noyaktighet,objtype,pkey,administrativgrense,cddaid,faktaark,folgerterrengdetalj,forvaltningsmyndighet,forvaltningsmyndighettype,forvaltningsplan,forvaltningsplandato,iucn,marinbeskyttelse,marineareapercentage,navn,nettverk_nettverkid,nettverk_nettverknavn,offisieltnavn,planbehov,revisjon,skjotselplan,skjotselplandato,skogvern,truetvurdering,vernedato,verneform,verneforskrift,verneplan,Areal,PosX,PosY
"37",,,,,VV00001200,NO.MILJODIREKTORATET.NATURBASE,,"1120",,,Naturvernområde,8b509409-8e89-4a31-9ade-b7561cabe6d5,,"156383",https://faktaark.naturbase.no/?id=VV00001200,,Statsforvalteren i Rogaland,,godkjent,"20160123000000",strictNatureReserve,,"0.00000000",Øksnevadtjønn,VM00000046,Ramsar,Øksnevadtjønn naturreservat,forvaltningOgSkjøtselsplan,revidert,godkjent,,ja,ukjent,"19961220",naturreservat,https://lovdata.no/forskrift/1996-12-20-1280,verneplanVåtmark,125149.598,308033.557627918,6522481.72631103
"38",,,,,VV00001148,NO.MILJODIREKTORATET.NATURBASE,,"1103",,,Naturvernområde,94ff60ff-b2ad-43e0-badb-611684965e1e,,"156405",https://faktaark.naturbase.no/?id=VV00001148,,Stavanger kommune ,kommune,ingenPlan,,strictNatureReserve,,"0.00000000",Bjargavatnet,,,Bjargavatnet naturreservat,forvaltningOgSkjøtselsplan,revidert,ingenPlan,,ja,truet,"19961220",naturreservat,https://lovdata.no/forskrift/1996-12-20-1282,verneplanVåtmark,125551.618,312595.051495885,6554609.58324499
"39",,,,,VV00000445,NO.MILJODIREKTORATET.NATURBASE,,"1103",,,Naturvernområde,c6b91983-9afd-4ac2-a4b7-07f5010a41f1,,"156423",https://faktaark.naturbase.no/?id=VV00000445,,Stavanger kommune ,kommune,ingenPlan,,strictNatureReserve,,"0.00000000",Førsvollvatna,,,Førsvollvatna naturreservat,forvaltningOgSkjøtselsplan,revidert,ingenPlan,,ja,ukjent,"19961220",naturreservat,https://lovdata.no/forskrift/1996-12-20-1283,verneplanVåtmark,232634.839,313336.700795175,6556082.66313901
"40",,,,,VV00001705,NO.MILJODIREKTORATET.NATURBASE,,"1103",,,Naturvernområde,6e1beb33-8a70-42ff-b43c-6ef448385058,,"156266",https://faktaark.naturbase.no/?id=VV00001705,,Stavanger kommune,kommune,ingenPlan,,strictNatureReserve,,"80.11000061",Reilstad - Grasholmen,,,Reilstad - Grasholmen naturreservat,ingen,ikkeRevidert,ingenPlan,,ja,truet,"19820507",naturreservat,https://lovdata.no/forskrift/1982-05-07-831,verneplanSjøfugl,29181.174,319798.259089518,6560930.2709441
"41",,,,,VV00000681,NO.MILJODIREKTORATET.NATURBASE,,"1103",,,Naturvernområde,eb0d1fd7-be41-4e5e-aa9f-c921e486678d,,"156379",https://faktaark.naturbase.no/?id=VV00000681,,Statsforvalteren i Rogaland,,ingenPlan,,strictNatureReserve,,"10.73999977",Vollholmen,,,Vollholmen naturreservat,ingen,ikkeRevidert,ingenPlan,,ja,ikkeTruet,"19820507",naturreservat,https://lovdata.no/forskrift/1982-05-07-848,verneplanSjøfugl,5178.815,306527.293493748,6559816.3286339
"42",,,,,VV00000444,NO.MILJODIREKTORATET.NATURBASE,,"1149",,,Naturvernområde,dfda0d3b-0268-448c-93a8-a2627a0a4122,,"155197",https://faktaark.naturbase.no/?id=VV00000444,,Karmøy kommune,kommune,ingenPlan,,strictNatureReserve,,"0.00000000",Øvre Eide,,,Øvre Eide naturreservat,forvaltningOgSkjøtselsplan,ikkeRevidert,ingenPlan,,ja,truet,"19861212",naturreservat,https://lovdata.no/forskrift/1986-12-12-2290,verneplanMyr,318100.846,287694.095211118,6576364.6700047
"43",,,,,VV00001145,NO.MILJODIREKTORATET.NATURBASE,,"1106",,,Naturvernområde,034e3a68-c082-43ed-a01a-4ac60c53c6ca,,"156633",https://faktaark.naturbase.no/?id=VV00001145,,Haugesund kommune,kommune,ingenPlan,,strictNatureReserve,,"0.00000000",Tornesvatnet,,,Tornesvatnet naturreservat,forvaltningOgSkjøtselsplan,revidert,ingenPlan,,ja,truet,"19961220",naturreservat,https://lovdata.no/forskrift/1996-12-20-1271,verneplanVåtmark,180799.88,287769.076653336,6595236.06495325
"44",,,,,VV00000732,NO.MILJODIREKTORATET.NATURBASE,,"1124",,,Naturvernområde,b8b3eb64-ef8a-432c-ae5a-c19473b9be63,,"156160",https://faktaark.naturbase.no/?id=VV00000732,,Statsforvalteren i Rogaland,,ingenPlan,,strictNatureReserve,,"95.04000092",Kjørholmane,,,Kjørholmane naturreservat,ingen,ikkeRevidert,ingenPlan,,ja,truet,"19820507",naturreservat,https://lovdata.no/forskrift/1982-05-07-841,verneplanSjøfugl,9872360.927,295737.52589699,6532850.03279585
"45",,,,,VV00000360,NO.MILJODIREKTORATET.NATURBASE,,"1111",,,Naturvernområde,a3f0854c-54cc-4b32-8ed2-b0ff76c4016a,,"156321",https://faktaark.naturbase.no/?id=VV00000360,,Statsforvalteren i Rogaland,,ingenPlan,,strictNatureReserve,,"1.86000001",Store og Litle Fokksteinen,,,Store og Litle Fokksteinen naturreservat,ingen,ikkeRevidert,ingenPlan,,ja,ikkeTruet,"19820507",naturreservat,https://lovdata.no/forskrift/1982-05-07-849,verneplanSjøfugl,21078.602,341865.252502789,6465202.29598711
"46",,,,,VV00001717,NO.MILJODIREKTORATET.NATURBASE,,"1146",,,Naturvernområde,9f5218e5-dffa-4cc6-b35d-f6ea4bb4f474,,"156108",https://faktaark.naturbase.no/?id=VV00001717,,Statsforvalteren i Rogaland,,ingenPlan,,strictNatureReserve,,"62.34999847",Gåsholmen og Årvikholmen,NO0000401,EmeraldNetwork,Gåsholmen og Årvikholmen naturreservat,skjøtselsplan,ikkeRevidert,ingenPlan,,ja,truet,"19820507",naturreservat,https://lovdata.no/forskrift/1982-05-07-822,verneplanSjøfugl,918516.081,302394.245891416,6573928.40946417
"47",,,,,VV00001738,NO.MILJODIREKTORATET.NATURBASE,,"1160",,,Naturvernområde,6b61fe56-5d4d-4144-a607-38b1f5872a47,,"156147",https://faktaark.naturbase.no/?id=VV00001738,,Statsforvalteren i Rogaland,,underBehandling,,strictNatureReserve,,"62.56999969",Illholmane,,,Illholmane naturreservat,forvaltningOgSkjøtselsplan,ikkeRevidert,underBehandling,,ja,truet,"19870403",naturreservat,https://lovdata.no/forskrift/1987-04-03-247,verneplanSjøfugl,161926.701,308539.042717243,6624533.30605022
"48",,,,,VV00001147,NO.MILJODIREKTORATET.NATURBASE,,"1103",,,Naturvernområde,7f7b9a61-7602-412a-8fac-7d55137149c9,,"156468",https://faktaark.naturbase.no/?id=VV00001147,,Stavanger kommune ,kommune,ingenPlan,,strictNatureReserve,,"0.00000000",Hauskjevatnet,,,Hauskjevatnet naturreservat,forvaltningOgSkjøtselsplan,revidert,ingenPlan,,ja,ikkeTruet,"19961220",naturreservat,https://lovdata.no/forskrift/1996-12-20-1268,verneplanVåtmark,221925.888,320271.448265413,6564248.08334764
"49",,,,,VV00001621,NO.MILJODIREKTORATET.NATURBASE,,"1103",,,Naturvernområde,cbc6c12f-3a2a-46d9-a948-1ed10f8a9b77,,"156158",https://faktaark.naturbase.no/?id=VV00001621,,Stavanger kommune,kommune,ingenPlan,,strictNatureReserve,,"90.27999878",Kattholmen,,,Kattholmen naturreservat,ingen,ikkeRevidert,ingenPlan,,ja,ikkeTruet,"19820507",naturreservat,https://lovdata.no/forskrift/1982-05-07-827,verneplanSjøfugl,19515.868,325718.668513014,6563105.11819991
"50",,,,,VV00001652,NO.MILJODIREKTORATET.NATURBASE,,"1149",,,Naturvernområde,117c43e9-de3d-4aab-a4d7-9a5fb884d58d,,"156342",https://faktaark.naturbase.no/?id=VV00001652,,Karmøy kommune,kommune,ingenPlan,,strictNatureReserve,,"94.86000061",Tednholmen,,,Tednholmen naturreservat,ingen,ikkeRevidert,ingenPlan,,ja,ikkeTruet,"19820507",naturreservat,https://lovdata.no/forskrift/1982-05-07-819,verneplanSjøfugl,14494.406,289258.265206707,6584561.76253724
"51",,,,,VV00001670,NO.MILJODIREKTORATET.NATURBASE,,"1101",,,Naturvernområde,f05ac7e3-3e3b-42f9-9f33-3c29f3adaf06,,"156335",https://faktaark.naturbase.no/?id=VV00001670,,Statsforvalteren i Rogaland,,ingenPlan,,strictNatureReserve,,"75.30999756",Svåholmane,,,Svåholmane naturreservat,ingen,ikkeRevidert,ingenPlan,,ja,ikkeTruet,"19820507",naturreservat,https://lovdata.no/forskrift/1982-05-07-843,verneplanSjøfugl,137673.119,326995.065031403,6474255.49874827
"52",,,,,VV00000446,NO.MILJODIREKTORATET.NATURBASE,,"1103",,,Naturvernområde,ab981f13-4db5-40f7-b217-77a7b839adc2,,"156532",https://faktaark.naturbase.no/?id=VV00000446,,Stavanger kommune ,kommune,underBehandling,,strictNatureReserve,,"42.41999817",Lundarsøyla,,,Lundarsøyla naturreservat,forvaltningOgSkjøtselsplan,revidert,ingenPlan,,nei,truet,"19961220",naturreservat,https://lovdata.no/forskrift/1996-12-20-1269,verneplanVåtmark,318962.466,317759.612468733,6573253.65945067
"53",,,,,VV00000358,NO.MILJODIREKTORATET.NATURBASE,,"1121",,,Naturvernområde,dba67e3a-d6e8-4470-b2ac-688c8cf6d0d8,,"156608",https://faktaark.naturbase.no/?id=VV00000358,,Statsforvalteren i Rogaland,,godkjent,"20140115000000",strictNatureReserve,,"0.00000000",Smokkevatnet,,,Smokkevatnet naturreservat,ingen,ikkeRevidert,godkjent,,ja,truet,"19961220",naturreservat,https://lovdata.no/forskrift/1996-12-20-1296,verneplanVåtmark,255416.164,306443.184226369,6512768.17127686
"54",,,,,VV00001703,NO.MILJODIREKTORATET.NATURBASE,,"1103",,,Naturvernområde,81b4b19d-102e-4550-9824-02769d6f5e01,,"156142",https://faktaark.naturbase.no/?id=VV00001703,,Stavanger kommune ,kommune,ingenPlan,,strictNatureReserve,,"91.84999847",Hovda Grasholmen,,,Hovda Grasholmen naturreservat,ingen,ikkeRevidert,ingenPlan,,ja,ikkeTruet,"19820507",naturreservat,https://lovdata.no/forskrift/1982-05-07-828,verneplanSjøfugl,21769.123,322476.425132294,6557165.02040325
"55",,,,,VV00001708,NO.MILJODIREKTORATET.NATURBASE,,"1149",,,Naturvernområde,6b18e761-e3bf-4801-ae10-b619d5f769f8,,"156095",https://faktaark.naturbase.no/?id=VV00001708,,Karmøy kommune,kommune,ingenPlan,,strictNatureReserve,,"96.27999878",Ferkingstadøyene,NO0000395,EmeraldNetwork,Ferkingstadøyene naturreservat,ingen,ikkeRevidert,ingenPlan,,ja,ikkeTruet,"19780428",naturreservat,https://lovdata.no/forskrift/1978-04-28-2,verneplanSjøfugl,7144971.134,275537.319837404,6572601.03555751
"56",,,,,VV00001667,NO.MILJODIREKTORATET.NATURBASE,,"1101",,,Naturvernområde,db7cfe16-a3f7-4abd-9588-6f090abcb2ff,,"156353",https://faktaark.naturbase.no/?id=VV00001667,,Statsforvalteren i Rogaland,,ingenPlan,,strictNatureReserve,,"60.61000061",Tingelsæte,,,Tingelsæte naturreservat,ingen,ikkeRevidert,ingenPlan,,ja,truet,"19820507",naturreservat,https://lovdata.no/forskrift/1982-05-07-842,verneplanSjøfugl,83033.679,324725.496555297,6478976.5477469
"57",,,,,VV00000417,NO.MILJODIREKTORATET.NATURBASE,,"1108",,,Naturvernområde,706f8608-6fb8-46c8-9a63-c2fa3607c896,,"156471",https://faktaark.naturbase.no/?id=VV00000417,,Statsforvalteren i Rogaland,,ingenPlan,,strictNatureReserve,,"0.00000000",Heigremyra,,,Heigremyra naturreservat,skjøtselsplan,ikkeRevidert,ingenPlan,,ja,ukjent,"19961220",naturreservat,https://lovdata.no/forskrift/1996-12-20-1285,verneplanVåtmark,61686.185,305988.630377418,6527806.87440817
"58",,,,,VV00001617,NO.MILJODIREKTORATET.NATURBASE,,"1103",,,Naturvernområde,260780f6-d424-46b9-914c-076f9e4483b0,,"156339",https://faktaark.naturbase.no/?id=VV00001617,,Stavanger kommune ,kommune,ingenPlan,,strictNatureReserve,,"91.69000244",Tåde,,,Tåde naturreservat,ingen,ikkeRevidert,ingenPlan,,ja,ikkeTruet,"19820507",naturreservat,https://lovdata.no/forskrift/1982-05-07-830,verneplanSjøfugl,36332.618,321085.840746193,6554963.19663765
"59",,,,,VV00000624,NO.MILJODIREKTORATET.NATURBASE,,"1133",,,Naturvernområde,a9c6a954-77c0-434f-a373-6534b23aa384,,"155198",https://faktaark.naturbase.no/?id=VV00000624,,Verneområdestyret for Setesdal-Vesthei-Ryfylkeheiane,verneområdestyre,ingenPlan,,strictNatureReserve,,"0.00000000",Øyastøl,,,Øyastøl naturreservat,skjøtselsplan,ikkeRevidert,ingenPlan,,nei,truet,"19861212",naturreservat,https://lovdata.no/forskrift/1986-12-12-2292,verneplanMyr,325577.03,352867.342176125,6569284.19033598
"60",,,,,VV00001234,NO.MILJODIREKTORATET.NATURBASE,,"1122",,,Naturvernområde,b8cc12a2-9630-4fee-85b1-29094b091c71,,"155424",https://faktaark.naturbase.no/?id=VV00001234,,Statsforvalteren i Rogaland,,ingenPlan,,strictNatureReserve,,"0.00000000",Viermyr,,,Viermyr naturreservat,skjøtselsplan,ikkeRevidert,ingenPlan,,ja,ukjent,"19861212",naturreservat,https://lovdata.no/forskrift/1986-12-12-2294,verneplanMyr,716802.307,335638.307136936,6523460.42686228
"61",,,,,VV00001236,NO.MILJODIREKTORATET.NATURBASE,,"1101,1111",,,Naturvernområde,a8635cb2-86df-4fd9-9c71-fedfb20deb23,,"156420",https://faktaark.naturbase.no/?id=VV00001236,,Statsforvalteren i Rogaland,,ingenPlan,,strictNatureReserve,,"0.00000000",Eptavatnet,NO0000400,EmeraldNetwork,Eptavatnet naturreservat,forvaltningOgSkjøtselsplan,revidert,ingenPlan,,ja,truet,"19961220",naturreservat,https://lovdata.no/forskrift/1996-12-20-1267,verneplanVåtmark,1105188.91,339956.52332583,6484544.17512878
"62",,,,,VV00000656,NO.MILJODIREKTORATET.NATURBASE,,"1103",,,Naturvernområde,95c0b7c6-b138-4ff5-b754-5bd21a6949dd,,"156064",https://faktaark.naturbase.no/?id=VV00000656,,Stavanger kommune ,kommune,ingenPlan,,strictNatureReserve,,"2.80999994",Aatholmane (m.fl.),NO0000390,EmeraldNetwork,Aatholmane (m.fl.) naturreservat,skjøtselsplan,ikkeRevidert,ingenPlan,,ja,ikkeTruet,"19820507",naturreservat,https://lovdata.no/forskrift/1982-05-07-847,verneplanSjøfugl,22340.448,312878.151641958,6563324.74029987
